Num timestep,mean reward,,
,,,
3000,171.818333,,328.5241666
,,,
4000,171.818333,,
,,,
5000,119.6766665,,
,,,
6000,119.6766665,,
,,,
7000,119.6766665,,
,,,
8000,118.4294443,,
,,,
9000,118.4294443,,
,,,
10000,111.4825,,
,,,
11000,111.4825,,
,,,
12000,111.4825,,
,,,
13000,129.689,,
,,,
14000,129.689,,
,,,
15000,73.33277783,,
,,,
16000,73.33277783,,
,,,
17000,73.33277783,,
,,,
18000,78.84404771,,
,,,
19000,78.84404771,,
,,,
20000,78.84404771,,
,,,
21000,89.76354175,,
,,,
22000,89.76354175,,
,,,
23000,93.50481489,,
,,,
24000,93.50481489,,
,,,
25000,93.50481489,,
,,,
26000,105.8593334,,
,,,
27000,105.8593334,,
,,,
28000,106.284697,,
,,,
29000,106.284697,,
,,,
30000,106.284697,,
,,,
31000,117.3169445,,
,,,
32000,117.3169445,,
,,,
33000,117.3169445,,
,,,
34000,126.2162821,,
,,,
35000,126.2162821,,
,,,
36000,126.2162821,,
,,,
37000,130.8675,,
,,,
38000,130.8675,,
,,,
39000,135.474,,
,,,
40000,135.474,,
,,,
41000,135.474,,
,,,
42000,130.4721875,,
,,,
43000,130.4721875,,
,,,
44000,130.4721875,,
,,,
45000,129.1746078,,
,,,
46000,129.1746078,,
,,,
47000,133.6624074,,
,,,
48000,133.6624074,,
,,,
49000,133.6624074,,
,,,
50000,137.7203508,,
,,,
51000,137.7203508,,
,,,
52000,137.7203508,,
,,,
53000,135.7022499,,
,,,
54000,135.7022499,,
,,,
55000,135.7022499,,
,,,
56000,140.670238,,
,,,
57000,140.670238,,
,,,
58000,142.9744696,,
,,,
59000,142.9744696,,
,,,
60000,142.9744696,,
,,,
61000,146.1272463,,
,,,
62000,146.1272463,,
,,,
63000,146.1272463,,
,,,
64000,148.9324999,,
,,,
65000,148.9324999,,
,,,
66000,148.9324999,,
,,,
67000,154.9184666,,
,,,
68000,154.9184666,,
,,,
69000,156.6097435,,
,,,
70000,156.6097435,,
,,,
71000,156.6097435,,
,,,
72000,153.5952469,,
,,,
73000,153.5952469,,
,,,
74000,153.5952469,,
,,,
75000,151.9532142,,
,,,
76000,151.9532142,,
,,,
77000,151.7237356,,
,,,
78000,151.7237356,,
,,,
79000,151.7237356,,
,,,
80000,151.7237356,,
,,,
81000,152.6815555,,
,,,
82000,152.6815555,,
,,,
83000,150.2656988,,
,,,
84000,150.2656988,,
,,,
85000,150.2656988,,
,,,
86000,148.4188541,,
,,,
87000,148.4188541,,
,,,
88000,148.4188541,,
,,,
89000,149.5386868,,
,,,
90000,149.5386868,,
,,,
91000,150.9540686,,
,,,
92000,150.9540686,,
,,,
93000,150.9540686,,
,,,
94000,149.5319047,,
,,,
95000,149.5319047,,
,,,
96000,149.5319047,,
,,,
97000,145.1809721,,
,,,
98000,145.1809721,,
,,,
99000,145.1809721,,
,,,
100000,145.1809721,,
,,,
101000,149.3322972,,
,,,
102000,149.3322972,,
,,,
103000,149.6492982,,
,,,
104000,149.6492982,,
,,,
105000,149.6492982,,
,,,
106000,151.8661538,,
,,,
107000,151.8661538,,
,,,
108000,151.8661538,,
,,,
109000,147.6479583,,
,,,
110000,147.6479583,,
,,,
111000,147.6479583,,
,,,
112000,147.8307723,,
,,,
113000,147.8307723,,
,,,
114000,145.8793253,,
,,,
115000,145.8793253,,
,,,
116000,145.8793253,,
,,,
117000,146.3589534,,
,,,
118000,146.3589534,,
,,,
119000,146.3589534,,
,,,
120000,147.234356,,
,,,
121000,147.234356,,
,,,
122000,147.234356,,
,,,
123000,147.234356,,
,,,
124000,149.7124073,,
,,,
125000,149.7124073,,
,,,
126000,149.7124073,,
,,,
127000,150.6886956,,
,,,
128000,150.6886956,,
,,,
129000,150.6886956,,
,,,
130000,153.7739716,,
,,,
131000,153.7739716,,
,,,
132000,153.7739716,,
,,,
133000,153.7739716,,
,,,
134000,157.4382291,,
,,,
135000,157.4382291,,
,,,
136000,157.4382291,,
,,,
137000,158.5759523,,
,,,
138000,158.5759523,,
,,,
139000,159.4882666,,
,,,
140000,159.4882666,,
,,,
141000,159.4882666,,
,,,
142000,159.4882666,,
,,,
143000,161.0094666,,
,,,
144000,161.0094666,,
,,,
145000,161.0094666,,
,,,
146000,160.0771,,
,,,
147000,160.0771,,
,,,
148000,160.0771,,
,,,
149000,156.8397333,,
,,,
150000,156.8397333,,
,,,
151000,156.8397333,,
,,,
152000,158.8690666,,
,,,
153000,158.8690666,,
,,,
154000,158.8690666,,
,,,
155000,159.1567666,,
,,,
156000,159.1567666,,
,,,
157000,159.1567666,,
,,,
158000,164.5677666,,
,,,
159000,164.5677666,,
,,,
160000,164.5677666,,
,,,
161000,164.5677666,,
,,,
162000,163.1451333,,
,,,
163000,163.1451333,,
,,,
164000,163.1451333,,
,,,
165000,162.7025333,,
,,,
166000,162.7025333,,
,,,
167000,162.7025333,,
,,,
168000,161.9125999,,
,,,
169000,161.9125999,,
,,,
170000,161.9125999,,
,,,
171000,161.9125999,,
,,,
172000,161.0394999,,
,,,
173000,161.0394999,,
,,,
174000,161.0394999,,
,,,
175000,161.5296333,,
,,,
176000,161.5296333,,
,,,
177000,161.5296333,,
,,,
178000,159.0788999,,
,,,
179000,159.0788999,,
,,,
180000,159.0788999,,
,,,
181000,156.5682666,,
,,,
182000,156.5682666,,
,,,
183000,156.5682666,,
,,,
184000,155.9431666,,
,,,
185000,155.9431666,,
,,,
186000,155.9431666,,
,,,
187000,153.2225666,,
,,,
188000,153.2225666,,
,,,
189000,153.2225666,,
,,,
190000,154.1991666,,
,,,
191000,154.1991666,,
,,,
192000,154.1991666,,
,,,
193000,154.1991666,,
,,,
194000,153.0351333,,
,,,
195000,153.0351333,,
,,,
196000,153.0351333,,
,,,
197000,150.0107666,,
,,,
198000,150.0107666,,
,,,
199000,134.0647,,
,,,
200000,134.0647,,
,,,
201000,134.0647,,
,,,
202000,134.0647,,
,,,
203000,136.7645,,
,,,
204000,136.7645,,
,,,
205000,136.7645,,
,,,
206000,133.0622666,,
,,,
207000,133.0622666,,
,,,
208000,133.0622666,,
,,,
209000,134.1917333,,
,,,
210000,134.1917333,,
,,,
211000,134.1917333,,
,,,
212000,134.7020667,,
,,,
213000,134.7020667,,
,,,
214000,134.7020667,,
,,,
215000,133.4678667,,
,,,
216000,133.4678667,,
,,,
217000,133.4678667,,
,,,
218000,130.5477667,,
,,,
219000,130.5477667,,
,,,
220000,130.5477667,,
,,,
221000,130.5477667,,
,,,
222000,131.8436,,
,,,
223000,131.8436,,
,,,
224000,131.8436,,
,,,
225000,124.3279667,,
,,,
226000,124.3279667,,
,,,
227000,124.3279667,,
,,,
228000,127.0084667,,
,,,
229000,127.0084667,,
,,,
230000,127.0084667,,
,,,
231000,127.0339667,,
,,,
232000,127.0339667,,
,,,
233000,127.0339667,,
,,,
234000,101.9125667,,
,,,
235000,101.9125667,,
,,,
236000,101.9125667,,
,,,
237000,101.9125667,,
,,,
238000,101.3586667,,
,,,
239000,101.3586667,,
,,,
240000,101.3586667,,
,,,
241000,98.12619998,,
,,,
242000,98.12619998,,
,,,
243000,98.12619998,,
,,,
244000,98.12619998,,
,,,
245000,98.12619998,,
,,,
246000,97.48123332,,
,,,
247000,97.48123332,,
,,,
248000,96.78086664,,
,,,
249000,96.78086664,,
,,,
250000,96.78086664,,
,,,
251000,96.78086664,,
,,,
252000,97.57959998,,
,,,
253000,97.57959998,,
,,,
254000,97.57959998,,
,,,
255000,101.6739333,,
,,,
256000,101.6739333,,
,,,
257000,101.6739333,,
,,,
258000,99.49396666,,
,,,
259000,99.49396666,,
,,,
260000,99.49396666,,
,,,
261000,99.49396666,,
,,,
262000,92.0007,,
,,,
263000,92.0007,,
,,,
264000,92.0007,,
,,,
265000,83.4461,,
,,,
266000,83.4461,,
,,,
267000,83.4461,,
,,,
268000,83.4461,,
,,,
269000,87.8231,,
,,,
270000,87.8231,,
,,,
271000,87.8231,,
,,,
272000,87.08433334,,
,,,
273000,87.08433334,,
,,,
274000,87.08433334,,
,,,
275000,87.08433334,,
,,,
276000,84.23783334,,
,,,
277000,84.23783334,,
,,,
278000,84.23783334,,
,,,
279000,78.08883334,,
,,,
280000,78.08883334,,
,,,
281000,78.08883334,,
,,,
282000,78.08883334,,
,,,
283000,78.68023334,,
,,,
284000,78.68023334,,
,,,
285000,78.68023334,,
,,,
286000,67.26573334,,
,,,
287000,67.26573334,,
,,,
288000,67.26573334,,
,,,
289000,63.57216666,,
,,,
290000,63.57216666,,
,,,
291000,63.57216666,,
,,,
292000,63.57216666,,
,,,
293000,59.66806666,,
,,,
294000,59.66806666,,
,,,
295000,59.66806666,,
,,,
296000,49.49706666,,
,,,
297000,49.49706666,,
,,,
298000,49.49706666,,
,,,
299000,49.00989998,,
,,,
300000,49.00989998,,
,,,
301000,49.00989998,,
,,,
302000,47.7468333,,
,,,
303000,47.7468333,,
,,,
304000,47.7468333,,
,,,
305000,47.7468333,,
,,,
306000,46.49209998,,
,,,
307000,46.49209998,,
,,,
308000,50.04976664,,
,,,
309000,50.04976664,,
,,,
310000,50.04976664,,
,,,
311000,50.04976664,,
,,,
312000,49.87796664,,
,,,
313000,49.87796664,,
,,,
314000,49.87796664,,
,,,
315000,49.44549998,,
,,,
316000,49.44549998,,
,,,
317000,49.44549998,,
,,,
318000,49.44549998,,
,,,
319000,46.16509998,,
,,,
320000,46.16509998,,
,,,
321000,46.16509998,,
,,,
322000,46.16509998,,
,,,
323000,45.54476664,,
,,,
324000,45.54476664,,
,,,
325000,-3.23743336,,
,,,
326000,-3.23743336,,
,,,
327000,-3.23743336,,
,,,
328000,-4.94763336,,
,,,
329000,-4.94763336,,
,,,
330000,-4.94763336,,
,,,
331000,-2.76280002,,
,,,
332000,-2.76280002,,
,,,
333000,-2.76280002,,
,,,
334000,-1.89306668,,
,,,
335000,-1.89306668,,
,,,
336000,-1.89306668,,
,,,
337000,-1.89306668,,
,,,
338000,-4.01513334,,
,,,
339000,-4.01513334,,
,,,
340000,-4.01513334,,
,,,
341000,-3.22026668,,
,,,
342000,-3.22026668,,
,,,
343000,-3.22026668,,
,,,
344000,-0.24546668,,
,,,
345000,-0.24546668,,
,,,
346000,-0.24546668,,
,,,
347000,-0.0929,,
,,,
348000,-0.0929,,
,,,
349000,-0.0929,,
,,,
350000,3.3291,,
,,,
351000,3.3291,,
,,,
352000,3.3291,,
,,,
353000,3.3291,,
,,,
354000,5.6241,,
,,,
355000,5.6241,,
,,,
356000,5.6241,,
,,,
357000,5.3967,,
,,,
358000,5.3967,,
,,,
359000,5.3967,,
,,,
360000,5.67516666,,
,,,
361000,5.67516666,,
,,,
362000,5.67516666,,
,,,
363000,5.67516666,,
,,,
364000,19.3586,,
,,,
365000,19.3586,,
,,,
366000,19.3586,,
,,,
367000,16.0465,,
,,,
368000,16.0465,,
,,,
369000,16.0465,,
,,,
370000,19.44963334,,
,,,
371000,19.44963334,,
,,,
372000,19.44963334,,
,,,
373000,19.44963334,,
,,,
374000,14.3907,,
,,,
375000,14.3907,,
,,,
376000,14.3907,,
,,,
377000,8.65966666,,
,,,
378000,8.65966666,,
,,,
379000,8.65966666,,
,,,
380000,8.65966666,,
,,,
381000,5.3072,,
,,,
382000,5.3072,,
,,,
383000,5.3072,,
,,,
384000,2.7051,,
,,,
385000,2.7051,,
,,,
386000,2.7051,,
,,,
387000,2.7051,,
,,,
388000,-2.4395,,
,,,
389000,-2.4395,,
,,,
390000,-2.4395,,
,,,
391000,8.24696666,,
,,,
392000,8.24696666,,
,,,
393000,8.24696666,,
,,,
394000,-2.1365,,
,,,
395000,-2.1365,,
,,,
396000,-2.1365,,
,,,
397000,-5.9802,,
,,,
398000,-5.9802,,
,,,
399000,-5.9802,,
,,,
400000,14.30453334,,
,,,
401000,14.30453334,,
,,,
402000,14.30453334,,
,,,
403000,14.30453334,,
,,,
404000,18.65473334,,
,,,
405000,18.65473334,,
,,,
406000,18.65473334,,
,,,
407000,13.82290002,,
,,,
408000,13.82290002,,
,,,
409000,13.82290002,,
,,,
410000,13.82290002,,
,,,
411000,14.94820002,,
,,,
412000,14.94820002,,
,,,
413000,14.94820002,,
,,,
414000,14.94820002,,
,,,
415000,14.30640002,,
,,,
416000,14.30640002,,
,,,
417000,14.30640002,,
,,,
418000,13.54716668,,
,,,
419000,13.54716668,,
,,,
420000,13.54716668,,
,,,
421000,11.81103334,,
,,,
422000,11.81103334,,
,,,
423000,11.81103334,,
,,,
424000,9.08253334,,
,,,
425000,9.08253334,,
,,,
426000,9.08253334,,
,,,
427000,9.08253334,,
,,,
428000,15.60643334,,
,,,
429000,15.60643334,,
,,,
430000,15.60643334,,
,,,
431000,20.84686666,,
,,,
432000,20.84686666,,
,,,
433000,20.84686666,,
,,,
434000,11.85343334,,
,,,
435000,11.85343334,,
,,,
436000,11.85343334,,
,,,
437000,11.85343334,,
,,,
438000,8.47266668,,
,,,
439000,8.47266668,,
,,,
440000,8.47266668,,
,,,
441000,14.69466668,,
,,,
442000,14.69466668,,
,,,
443000,14.69466668,,
,,,
444000,14.69466668,,
,,,
445000,14.69466668,,
,,,
446000,21.10240002,,
,,,
447000,21.10240002,,
,,,
448000,21.10240002,,
,,,
449000,12.75766668,,
,,,
450000,12.75766668,,
,,,
451000,12.75766668,,
,,,
452000,15.49413334,,
,,,
453000,15.49413334,,
,,,
454000,15.49413334,,
,,,
455000,19.14326668,,
,,,
456000,19.14326668,,
,,,
457000,19.14326668,,
,,,
458000,19.14326668,,
,,,
459000,18.41153334,,
,,,
460000,18.41153334,,
,,,
461000,18.41153334,,
,,,
462000,18.41153334,,
,,,
463000,24.59480002,,
,,,
464000,24.59480002,,
,,,
465000,20.20930002,,
,,,
466000,20.20930002,,
,,,
467000,20.20930002,,
,,,
468000,20.20930002,,
,,,
469000,20.67663336,,
,,,
470000,20.67663336,,
,,,
471000,20.67663336,,
,,,
472000,18.05240002,,
,,,
473000,18.05240002,,
,,,
474000,18.05240002,,
,,,
475000,18.05240002,,
,,,
476000,15.09070002,,
,,,
477000,15.09070002,,
,,,
478000,15.09070002,,
,,,
479000,15.09070002,,
,,,
480000,18.73566668,,
,,,
481000,18.73566668,,
,,,
482000,18.73566668,,
,,,
483000,18.73566668,,
,,,
484000,20.84416668,,
,,,
485000,20.84416668,,
,,,
486000,20.84416668,,
,,,
487000,21.94636668,,
,,,
488000,21.94636668,,
,,,
489000,21.94636668,,
,,,
490000,21.94636668,,
,,,
491000,26.76420002,,
,,,
492000,26.76420002,,
,,,
493000,26.76420002,,
,,,
494000,76.80590002,,
,,,
495000,76.80590002,,
,,,
496000,76.80590002,,
,,,
497000,76.80590002,,
,,,
498000,82.02420002,,
,,,
499000,82.02420002,,
,,,
500000,82.02420002,,
,,,
501000,82.02420002,,
,,,
502000,78.26713336,,
,,,
503000,78.26713336,,
,,,
504000,78.26713336,,
,,,
505000,76.06066668,,
,,,
506000,76.06066668,,
,,,
507000,76.06066668,,
,,,
508000,76.06066668,,
,,,
509000,79.48373334,,
,,,
510000,79.48373334,,
,,,
511000,79.48373334,,
,,,
512000,74.68833334,,
,,,
513000,74.68833334,,
,,,
514000,74.68833334,,
,,,
515000,74.68833334,,
,,,
516000,73.34916666,,
,,,
517000,73.34916666,,
,,,
518000,73.34916666,,
,,,
519000,70.38976666,,
,,,
520000,70.38976666,,
,,,
521000,70.38976666,,
,,,
522000,70.38976666,,
,,,
523000,65.472,,
,,,
524000,65.472,,
,,,
525000,65.472,,
,,,
526000,65.472,,
,,,
527000,63.04713334,,
,,,
528000,63.04713334,,
,,,
529000,63.04713334,,
,,,
530000,66.9826,,
,,,
531000,66.9826,,
,,,
532000,66.9826,,
,,,
533000,66.9826,,
,,,
534000,67.4266,,
,,,
535000,67.4266,,
,,,
536000,67.4266,,
,,,
537000,61.43436666,,
,,,
538000,61.43436666,,
,,,
539000,61.43436666,,
,,,
540000,64.74003334,,
,,,
541000,64.74003334,,
,,,
542000,64.74003334,,
,,,
543000,64.74003334,,
,,,
544000,58.15276668,,
,,,
545000,58.15276668,,
,,,
546000,58.15276668,,
,,,
547000,58.15276668,,
,,,
548000,65.58286668,,
,,,
549000,65.58286668,,
,,,
550000,65.58286668,,
,,,
551000,68.69190002,,
,,,
552000,68.69190002,,
,,,
553000,68.69190002,,
,,,
554000,68.69190002,,
,,,
555000,71.30730002,,
,,,
556000,71.30730002,,
,,,
557000,71.30730002,,
,,,
558000,71.55300002,,
,,,
559000,71.55300002,,
,,,
560000,71.55300002,,
,,,
561000,75.47340002,,
,,,
562000,75.47340002,,
,,,
563000,75.47340002,,
,,,
564000,75.47340002,,
,,,
565000,73.46750002,,
,,,
566000,73.46750002,,
,,,
567000,73.46750002,,
,,,
568000,76.15363336,,
,,,
569000,76.15363336,,
,,,
570000,76.15363336,,
,,,
571000,79.99400004,,
,,,
572000,79.99400004,,
,,,
573000,79.99400004,,
,,,
574000,79.99400004,,
,,,
575000,86.07490004,,
,,,
576000,86.07490004,,
,,,
577000,86.07490004,,
,,,
578000,86.07490004,,
,,,
579000,77.39440004,,
,,,
580000,77.39440004,,
,,,
581000,77.39440004,,
,,,
582000,86.9780667,,
,,,
583000,86.9780667,,
,,,
584000,86.9780667,,
,,,
585000,86.9780667,,
,,,
586000,82.67760004,,
,,,
587000,82.67760004,,
,,,
588000,82.67760004,,
,,,
589000,85.77013338,,
,,,
590000,85.77013338,,
,,,
591000,85.77013338,,
,,,
592000,85.77013338,,
,,,
593000,83.68433338,,
,,,
594000,83.68433338,,
,,,
595000,83.68433338,,
,,,
596000,83.53880006,,
,,,
597000,83.53880006,,
,,,
598000,83.53880006,,
,,,
599000,83.53880006,,
,,,
600000,78.81296672,,
,,,
601000,78.81296672,,
,,,
602000,78.81296672,,
,,,
603000,79.27016672,,
,,,
604000,79.27016672,,
,,,
605000,79.27016672,,
,,,
606000,74.05776672,,
,,,
607000,74.05776672,,
,,,
608000,74.05776672,,
,,,
609000,74.05776672,,
,,,
610000,79.75923338,,
,,,
611000,79.75923338,,
,,,
612000,79.75923338,,
,,,
613000,87.28630004,,
,,,
614000,87.28630004,,
,,,
615000,87.28630004,,
,,,
616000,87.28630004,,
,,,
617000,87.13260004,,
,,,
618000,87.13260004,,
,,,
619000,87.13260004,,
,,,
620000,87.13260004,,
,,,
621000,87.66383338,,
,,,
622000,87.66383338,,
,,,
623000,87.66383338,,
,,,
624000,87.66383338,,
,,,
625000,94.34823338,,
,,,
626000,94.34823338,,
,,,
627000,94.34823338,,
,,,
628000,100.5779,,
,,,
629000,100.5779,,
,,,
630000,100.5779,,
,,,
631000,100.5779,,
,,,
632000,97.03940004,,
,,,
633000,97.03940004,,
,,,
634000,97.03940004,,
,,,
635000,97.62520004,,
,,,
636000,97.62520004,,
,,,
637000,97.62520004,,
,,,
638000,97.62520004,,
,,,
639000,97.62520004,,
,,,
640000,99.60540004,,
,,,
641000,99.60540004,,
,,,
642000,99.60540004,,
,,,
643000,100.6130334,,
,,,
644000,100.6130334,,
,,,
645000,100.6130334,,
,,,
646000,100.7246667,,
,,,
647000,100.7246667,,
,,,
648000,100.7246667,,
,,,
649000,101.2618667,,
,,,
650000,101.2618667,,
,,,
651000,101.2618667,,
,,,
652000,101.9238667,,
,,,
653000,101.9238667,,
,,,
654000,101.9238667,,
,,,
655000,101.9238667,,
,,,
656000,102.5259334,,
,,,
657000,102.5259334,,
,,,
658000,102.5259334,,
,,,
659000,102.5259334,,
,,,
660000,101.5520667,,
,,,
661000,101.5520667,,
,,,
662000,101.5520667,,
,,,
663000,103.3608667,,
,,,
664000,103.3608667,,
,,,
665000,103.3608667,,
,,,
666000,103.3608667,,
,,,
667000,95.82343338,,
,,,
668000,95.82343338,,
,,,
669000,95.82343338,,
,,,
670000,93.43176672,,
,,,
671000,93.43176672,,
,,,
672000,86.68533338,,
,,,
673000,86.68533338,,
,,,
674000,86.68533338,,
,,,
675000,86.68533338,,
,,,
676000,87.17063338,,
,,,
677000,87.17063338,,
,,,
678000,87.17063338,,
,,,
679000,80.46000006,,
,,,
680000,80.46000006,,
,,,
681000,80.46000006,,
,,,
682000,80.46000006,,
,,,
683000,74.3094334,,
,,,
684000,74.3094334,,
,,,
685000,74.3094334,,
,,,
686000,74.3094334,,
,,,
687000,74.71076674,,
,,,
688000,74.71076674,,
,,,
689000,74.71076674,,
,,,
690000,73.70363342,,
,,,
691000,73.70363342,,
,,,
692000,73.70363342,,
,,,
693000,73.70363342,,
,,,
694000,70.61850008,,
,,,
695000,70.61850008,,
,,,
696000,70.61850008,,
,,,
697000,68.9461334,,
,,,
698000,68.9461334,,
,,,
699000,68.9461334,,
,,,
700000,68.9461334,,
,,,
701000,69.90140006,,
,,,
702000,69.90140006,,
,,,
703000,69.90140006,,
,,,
704000,69.3128334,,
,,,
705000,69.3128334,,
,,,
706000,69.3128334,,
,,,
707000,69.3128334,,
,,,
708000,71.3938334,,
,,,
709000,71.3938334,,
,,,
710000,71.3938334,,
,,,
711000,71.3938334,,
,,,
712000,80.43940006,,
,,,
713000,80.43940006,,
,,,
714000,80.43940006,,
,,,
715000,73.67086672,,
,,,
716000,73.67086672,,
,,,
717000,73.67086672,,
,,,
718000,73.67086672,,
,,,
719000,78.36343338,,
,,,
720000,78.36343338,,
,,,
721000,78.36343338,,
,,,
722000,73.59733338,,
,,,
723000,73.59733338,,
,,,
724000,73.59733338,,
,,,
725000,73.59733338,,
,,,
726000,71.56383338,,
,,,
727000,71.56383338,,
,,,
728000,71.56383338,,
,,,
729000,73.06530004,,
,,,
730000,73.06530004,,
,,,
731000,73.06530004,,
,,,
732000,73.06530004,,
,,,
733000,75.10830004,,
,,,
734000,75.10830004,,
,,,
735000,75.10830004,,
,,,
736000,75.10830004,,
,,,
737000,70.22530004,,
,,,
738000,70.22530004,,
,,,
739000,70.22530004,,
,,,
740000,69.27860004,,
,,,
741000,69.27860004,,
,,,
742000,69.27860004,,
,,,
743000,69.27860004,,
,,,
744000,78.38123336,,
,,,
745000,78.38123336,,
,,,
746000,78.38123336,,
,,,
747000,74.78670002,,
,,,
748000,74.78670002,,
,,,
749000,74.78670002,,
,,,
750000,74.78670002,,
,,,
751000,76.00620002,,
,,,
752000,76.00620002,,
,,,
753000,76.00620002,,
,,,
754000,76.00620002,,
,,,
755000,80.19013336,,
,,,
756000,80.19013336,,
,,,
757000,80.19013336,,
,,,
758000,80.19013336,,
,,,
759000,81.07983336,,
,,,
760000,81.07983336,,
,,,
761000,81.07983336,,
,,,
762000,81.07983336,,
,,,
763000,81.44816668,,
,,,
764000,81.44816668,,
,,,
765000,81.44816668,,
,,,
766000,71.17816668,,
,,,
767000,71.17816668,,
,,,
768000,71.17816668,,
,,,
769000,71.17816668,,
,,,
770000,75.72753336,,
,,,
771000,75.72753336,,
,,,
772000,75.72753336,,
,,,
773000,75.72753336,,
,,,
774000,74.73756668,,
,,,
775000,74.73756668,,
,,,
776000,74.73756668,,
,,,
777000,81.39790002,,
,,,
778000,81.39790002,,
,,,
779000,81.39790002,,
,,,
780000,81.39790002,,
,,,
781000,83.89223336,,
,,,
782000,83.89223336,,
,,,
783000,83.89223336,,
,,,
784000,91.5013667,,
,,,
785000,91.5013667,,
,,,
786000,91.5013667,,
,,,
787000,91.86990004,,
,,,
788000,91.86990004,,
,,,
789000,91.86990004,,
,,,
790000,91.86990004,,
,,,
791000,91.86990004,,
,,,
792000,89.23683338,,
,,,
793000,89.23683338,,
,,,
794000,89.23683338,,
,,,
795000,89.23683338,,
,,,
796000,90.51510004,,
,,,
797000,90.51510004,,
,,,
798000,90.51510004,,
,,,
799000,89.05310004,,
,,,
800000,89.05310004,,
,,,
801000,89.05310004,,
,,,
802000,89.05310004,,
,,,
803000,87.08073338,,
,,,
804000,87.08073338,,
,,,
805000,87.08073338,,
,,,
806000,85.84893338,,
,,,
807000,85.84893338,,
,,,
808000,85.84893338,,
,,,
809000,85.84893338,,
,,,
810000,87.22640004,,
,,,
811000,87.22640004,,
,,,
812000,87.22640004,,
,,,
813000,85.48610004,,
,,,
814000,85.48610004,,
,,,
815000,85.48610004,,
,,,
816000,79.4192667,,
,,,
817000,79.4192667,,
,,,
818000,79.4192667,,
,,,
819000,79.4192667,,
,,,
820000,79.84483336,,
,,,
821000,79.84483336,,
,,,
822000,79.84483336,,
,,,
823000,79.84483336,,
,,,
824000,74.07186668,,
,,,
825000,74.07186668,,
,,,
826000,74.07186668,,
,,,
827000,74.84716668,,
,,,
828000,74.84716668,,
,,,
829000,74.84716668,,
,,,
830000,77.02733334,,
,,,
831000,77.02733334,,
,,,
832000,77.02733334,,
,,,
833000,77.02733334,,
,,,
834000,76.26280002,,
,,,
835000,76.26280002,,
,,,
836000,76.26280002,,
,,,
837000,75.80763334,,
,,,
838000,75.80763334,,
,,,
839000,75.80763334,,
,,,
840000,75.80763334,,
,,,
841000,74.25353334,,
,,,
842000,74.25353334,,
,,,
843000,74.25353334,,
,,,
844000,81.42026668,,
,,,
845000,81.42026668,,
,,,
846000,81.42026668,,
,,,
